,laf005_per_hour,laf01_per_hour,laf05_per_hour,laf10_per_hour,laf25_per_hour,laf50_per_hour,laf75_per_hour,laf90_per_hour,laf95_per_hour,laf98_per_hour,laf99_per_hour,laf995_per_hour
2022-10-16 17:00:00,72.76387220098299,70.75701802293827,65.15658110322228,62.162971054068834,57.28503549972678,52.43481703986886,48.91818678317852,46.73290551611151,45.74161660294913,44.853113052976475,44.37132714363729,43.99401966138723
2022-10-16 18:00:00,63.55,61.5,56.349999999999994,52.150000000000006,39.25,34.0,31.65,31.05,30.8,30.65,30.549999999999997,30.5
2022-10-16 19:00:00,54.5,52.2,46.0,41.95,36.599999999999994,33.099999999999994,31.7,31.1,30.85,30.65,30.549999999999997,30.5
2022-10-16 20:00:00,52.45,50.1,44.75,41.55,37.0,32.95,31.650000000000002,31.1,30.9,30.700000000000003,30.6,30.55
2022-10-16 21:00:00,44.0,41.75,37.900000000000006,36.3,33.75,31.65,31.0,30.75,30.65,30.55,30.5,30.45
2022-10-16 22:00:00,42.150000000000006,39.95,36.1,34.2,31.85,31.2,30.9,30.7,30.6,30.5,30.5,30.4
2022-10-16 23:00:00,39.650000000000006,37.6,34.55,32.9,31.5,31.1,30.85,30.65,30.55,30.45,30.45,30.4
2022-10-17 00:00:00,36.650000000000006,35.5,32.85,31.6,31.2,31.0,30.8,30.6,30.55,30.45,30.45,30.4
2022-10-17 01:00:00,35.75,35.3,32.6,31.55,31.25,31.0,30.8,30.65,30.6,30.55,30.5,30.45
2022-10-17 02:00:00,35.75,35.25,32.5,31.55,31.25,31.0,30.8,30.7,30.6,30.55,30.5,30.45
2022-10-17 03:00:00,35.7,35.2,32.4,31.5,31.2,31.0,30.8,30.7,30.6,30.5,30.5,30.4
2022-10-17 04:00:00,35.8,35.3,32.55,31.5,31.25,31.0,30.8,30.7,30.6,30.5,30.5,30.45
2022-10-17 05:00:00,36.55,35.599999999999994,33.0,31.65,31.35,31.05,30.85,30.75,30.65,30.55,30.55,30.5
2022-10-17 06:00:00,38.85,37.45,34.15,32.5,31.5,31.15,30.95,30.8,30.7,30.6,30.6,30.5
2022-10-17 07:00:00,44.5,43.25,39.95,38.05,33.0,31.4,31.1,30.85,30.75,30.65,30.65,30.55
2022-10-17 08:00:00,49.4,47.45,43.099999999999994,41.0,35.099999999999994,32.65,31.950000000000003,31.45,31.15,30.95,30.85,30.75
2022-10-17 09:00:00,46.7,44.5,39.3,37.35,34.65,33.15,32.35,31.8,31.4,31.15,30.95,30.9
2022-10-17 10:00:00,47.150000000000006,46.05,39.8,37.35,33.8,32.099999999999994,31.55,31.25,31.05,30.9,30.75,30.75
2022-10-17 11:00:00,46.650000000000006,45.8,39.7,37.1,33.25,31.499999999999996,31.1,30.85,30.75,30.65,30.6,30.55
2022-10-17 12:00:00,42.25,41.0,37.0,35.150000000000006,32.8,31.549999999999997,31.15,30.85,30.75,30.6,30.6,30.5
2022-10-17 13:00:00,59.0,57.1,52.849999999999994,50.55000000000001,46.7,33.25,31.25,30.9,30.75,30.5,30.4,30.3
2022-10-17 14:00:00,80.35,76.55000000000001,69.85,66.9,61.900000000000006,46.449999999999996,42.6,40.099999999999994,35.55,32.9,32.099999999999994,31.6
2022-10-17 15:00:00,79.69999999999999,76.55000000000001,69.85000000000001,67.45000000000002,63.55,58.4,53.95,50.099999999999994,44.849999999999994,41.45,40.3,39.55
2022-10-17 16:00:00,74.3,73.15,68.9,66.9,63.25,58.599999999999994,54.25,51.3,49.8,48.2,47.25,46.6
2022-10-17 17:00:00,74.35,73.25,68.9,66.65,62.85,58.25,54.14999999999999,51.3,49.95,48.65,47.849999999999994,47.25
2022-10-17 18:00:00,79.1,74.0,69.10000000000001,66.30000000000001,62.400000000000006,57.849999999999994,53.8,50.95,49.650000000000006,48.2,47.5,46.849999999999994
2022-10-17 19:00:00,78.75,73.55,68.95000000000002,66.0,62.05,57.5,53.699999999999996,50.95,49.550000000000004,48.0,47.2,46.3
2022-10-17 20:00:00,74.80000000000001,73.25,68.85000000000001,66.10000000000001,61.85,57.199999999999996,53.449999999999996,50.75,49.25,47.8,47.0,46.2
2022-10-17 21:00:00,74.80000000000001,73.1,68.0,65.05000000000001,60.35,55.9,52.349999999999994,49.6,48.150000000000006,46.900000000000006,46.25,45.7
2022-10-17 22:00:00,73.2,71.7,66.15,63.300000000000004,58.5,53.95,50.39999999999999,47.75,46.45,45.400000000000006,44.8,44.25
2022-10-17 23:00:00,74.80000000000001,72.9,66.45000000000002,63.2,58.05,52.95,48.849999999999994,46.3,45.150000000000006,44.1,43.55,43.05
2022-10-18 00:00:00,74.2,71.94999999999999,65.05000000000001,61.45,56.1,51.2,47.25,44.85,43.800000000000004,42.85,42.45,42.099999999999994
2022-10-18 01:00:00,70.9,68.65,62.45000000000001,58.900000000000006,53.6,48.75,45.099999999999994,43.15,42.35000000000001,41.7,41.349999999999994,41.099999999999994
2022-10-18 02:00:00,70.19999999999999,67.45,59.70000000000001,55.85000000000001,50.7,46.349999999999994,43.5,42.15,41.60000000000001,41.2,40.949999999999996,40.75
2022-10-18 03:00:00,67.65,64.7,56.60000000000001,52.85000000000001,47.95,44.5,42.699999999999996,41.75,41.300000000000004,40.95,40.75,40.55
2022-10-18 04:00:00,65.65,63.3,56.2,52.5,47.7,44.3,42.55,41.65,41.25,40.9,40.699999999999996,40.5
2022-10-18 05:00:00,68.25,66.44999999999999,60.150000000000006,56.10000000000001,50.05,46.75,43.15,41.95,41.550000000000004,41.15,40.949999999999996,40.75
2022-10-18 06:00:00,71.35,69.8,65.05000000000001,61.25000000000001,53.25,47.64999999999999,43.349999999999994,42.0,41.650000000000006,41.25,41.1,40.9
2022-10-18 07:00:00,74.25,72.55,67.55000000000001,64.55000000000001,57.900000000000006,49.89999999999999,45.599999999999994,43.599999999999994,43.0,42.5,42.3,42.05
2022-10-18 08:00:00,75.5,73.9,69.10000000000001,66.5,62.400000000000006,56.64999999999999,51.3,48.15,46.7,45.5,44.849999999999994,44.5
2022-10-18 09:00:00,75.5,74.1,69.60000000000001,67.0,63.3,59.349999999999994,54.05,50.6,48.75,47.150000000000006,46.25,45.7
2022-10-18 10:00:00,76.05000000000001,74.6,71.15,69.5,65.25,59.199999999999996,53.849999999999994,50.35,48.75,47.35,46.64999999999999,46.0
2022-10-18 11:00:00,77.6,75.5,73.0,72.30000000000001,69.64999999999999,63.599999999999994,57.5,53.7,51.85000000000001,49.35,48.449999999999996,47.849999999999994
2022-10-18 12:00:00,76.4,74.15,70.55000000000001,69.10000000000001,66.85,62.5,57.14999999999999,53.8,52.10000000000001,49.8,48.89999999999999,48.4
2022-10-18 13:00:00,71.95,70.35,66.65,65.0,62.24999999999999,59.25,56.099999999999994,52.55,51.35000000000001,50.15,49.449999999999996,48.95
2022-10-18 14:00:00,72.35,70.85,67.55000000000001,65.65,62.24999999999999,58.650000000000006,55.699999999999996,52.349999999999994,51.2,50.05,49.449999999999996,48.95
2022-10-18 15:00:00,74.6,73.0,68.5,65.80000000000001,61.3,56.45,52.949999999999996,50.55,49.300000000000004,48.05,47.5,47.05
2022-10-18 16:00:00,73.45,71.9,67.0,64.60000000000001,60.94999999999999,56.7,53.199999999999996,50.7,49.45,48.15,47.5,46.8
2022-10-18 17:00:00,73.15,71.5,66.75,64.45000000000002,60.849999999999994,56.650000000000006,53.199999999999996,50.85,49.75,48.7,48.05,47.35
2022-10-18 18:00:00,74.3,72.65,67.80000000000001,65.05000000000001,61.19999999999999,57.05,53.699999999999996,51.45,50.25,49.15,48.349999999999994,47.75
2022-10-18 19:00:00,74.44999999999999,73.2,68.55000000000001,65.5,61.5,57.349999999999994,53.9,51.5,50.25,49.05,48.199999999999996,47.349999999999994
2022-10-18 20:00:00,74.3,73.2,68.65,65.65,61.44999999999999,57.05,53.3,50.7,49.45,48.05,47.199999999999996,46.349999999999994
2022-10-18 21:00:00,73.65,72.4,67.95,65.05000000000001,60.69999999999999,56.2,52.5,49.95,48.7,47.25,46.39999999999999,45.65
2022-10-18 22:00:00,72.94999999999999,71.25,66.5,63.900000000000006,59.69999999999999,55.35,51.849999999999994,49.400000000000006,48.25,47.1,46.39999999999999,45.75
2022-10-18 23:00:00,74.1,71.25,65.60000000000001,63.00000000000001,58.74999999999999,54.400000000000006,50.65,48.150000000000006,47.050000000000004,46.05,45.5,45.05
2022-10-19 00:00:00,74.8,71.75,65.5,62.85000000000001,58.64999999999999,54.5,50.65,48.05,46.800000000000004,45.5,44.949999999999996,44.5
2022-10-19 01:00:00,74.45,72.1,66.30000000000001,63.7,59.49999999999999,55.05,50.849999999999994,47.8,46.400000000000006,45.15,44.55,44.15
2022-10-19 02:00:00,74.25,71.55,65.4,62.30000000000001,57.49999999999999,52.55,48.4,45.650000000000006,44.5,43.599999999999994,43.099999999999994,42.8
2022-10-19 03:00:00,72.65,69.6,62.35000000000001,59.10000000000001,54.099999999999994,49.3,45.95,44.2,43.400000000000006,42.75,42.39999999999999,42.1
2022-10-19 04:00:00,72.30000000000001,69.35,61.7,58.35000000000001,53.19999999999999,48.55,45.3,43.5,42.75,42.150000000000006,41.89999999999999,41.6
2022-10-19 05:00:00,71.35,69.1,61.900000000000006,58.050000000000004,52.349999999999994,47.9,44.75,42.900000000000006,42.25,41.7,41.449999999999996,41.25
2022-10-19 06:00:00,72.05,70.45,63.80000000000001,60.050000000000004,53.39999999999999,47.7,44.599999999999994,43.05,42.5,42.0,41.64999999999999,41.45
2022-10-19 07:00:00,74.15,72.45,66.6,63.60000000000001,58.099999999999994,51.55,47.349999999999994,45.0,44.1,43.349999999999994,43.0,42.75
