,laf005_per_hour,laf01_per_hour,laf05_per_hour,laf10_per_hour,laf25_per_hour,laf50_per_hour,laf75_per_hour,laf90_per_hour,laf95_per_hour,laf98_per_hour,laf99_per_hour,laf995_per_hour
2022-04-15 10:00:00,57.49208506555808,55.682667093060495,51.16693316277575,49.04933642468808,46.14670610809064,44.01234409977598,42.624552286536506,41.73751998720821,41.31344739366811,40.9069475535658,40.66523824752162,40.464646626159336
2022-04-15 11:00:00,56.95,54.6,50.349999999999994,48.6,45.85,43.55,42.1,41.25,40.85,40.4,40.2,39.9
2022-04-15 12:00:00,56.8,54.15,50.0,48.150000000000006,45.35,43.3,42.150000000000006,41.4,41.05,40.65,40.45,40.25
2022-04-15 13:00:00,58.7,56.3,51.45,49.1,45.95,43.900000000000006,42.55,41.75,41.400000000000006,41.099999999999994,40.900000000000006,40.75
2022-04-15 14:00:00,58.95,57.15,52.3,49.6,46.3,44.150000000000006,42.9,42.1,41.75,41.4,41.2,41.0
2022-04-15 15:00:00,56.65,55.25,50.8,48.35,45.35,43.55,42.65,41.95,41.65,41.3,41.1,40.9
2022-04-15 16:00:00,56.45,54.75,49.3,46.95,44.4,43.05,42.2,41.599999999999994,41.3,41.0,40.8,40.65
2022-04-15 17:00:00,55.65,53.8,48.7,46.4,44.05,42.85,42.099999999999994,41.55,41.25,41.0,40.8,40.65
2022-04-15 18:00:00,56.3,53.900000000000006,48.9,47.15,45.05,43.55,42.599999999999994,41.900000000000006,41.55,41.3,41.05,40.849999999999994
2022-04-15 19:00:00,57.95,55.3,49.7,48.349999999999994,46.45,44.5,43.0,42.1,41.7,41.3,41.05,40.849999999999994
2022-04-15 20:00:00,56.8,54.599999999999994,49.55,48.0,45.85,43.95,42.6,41.75,41.400000000000006,40.95,40.75,40.55
2022-04-15 21:00:00,57.2,55.2,50.1,47.7,44.6,42.9,41.95,41.3,41.0,40.7,40.5,40.349999999999994
2022-04-15 22:00:00,56.849999999999994,55.35,50.35,47.599999999999994,44.25,42.7,41.75,41.150000000000006,40.849999999999994,40.6,40.4,40.3
2022-04-15 23:00:00,53.9,52.35,47.65,45.599999999999994,43.45,42.35,41.6,41.05,40.8,40.5,40.349999999999994,40.25
