,laf005_per_hour,laf01_per_hour,laf05_per_hour,laf10_per_hour,laf25_per_hour,laf50_per_hour,laf75_per_hour,laf90_per_hour,laf95_per_hour,laf98_per_hour,laf99_per_hour,laf995_per_hour
2022-02-17 16:00:00,72.08708130828852,69.96628136083015,64.02094443714694,60.79678182056982,55.19670300801241,49.399750426901456,45.04867332194891,42.247714435833494,40.95329699198729,39.764041770655545,39.10501116511236,38.58868383029042
2022-02-17 17:00:00,72.94999999999999,71.2,67.5,65.25,61.55,56.25,51.150000000000006,48.15,46.45,44.1,43.0,42.5
2022-02-17 18:00:00,75.05,72.55,67.9,65.35,61.35,55.849999999999994,51.35,48.4,46.9,44.45,43.3,42.75
2022-02-17 19:00:00,76.19999999999999,73.6,68.65,66.05,61.7,56.3,52.150000000000006,49.349999999999994,47.95,46.45,45.6,45.05
2022-02-17 20:00:00,75.1,73.5,69.25,66.65,61.5,55.650000000000006,51.5,48.9,47.599999999999994,46.3,45.6,44.95
2022-02-17 21:00:00,74.15,72.75,68.7,66.05,60.35,53.95,49.75,47.099999999999994,45.8,44.6,43.95,43.349999999999994
2022-02-17 22:00:00,74.1,72.3,67.25,64.5,59.1,53.099999999999994,48.85,45.849999999999994,44.25,42.7,41.65,41.0
2022-02-17 23:00:00,75.1,72.95,67.19999999999999,64.3,58.900000000000006,53.0,48.3,44.75,42.95,41.25,40.2,39.55
2022-02-18 00:00:00,78.5,75.6,68.4,65.14999999999999,59.7,53.85,48.900000000000006,44.95,42.85,40.95,40.05,39.45
2022-02-18 01:00:00,77.25,74.15,66.6,63.15,57.849999999999994,52.35,47.6,43.9,41.95,40.1,39.150000000000006,38.599999999999994
2022-02-18 02:00:00,71.1,68.6,62.6,59.400000000000006,54.25,49.2,44.75,41.4,39.8,38.4,37.75,37.349999999999994
2022-02-18 03:00:00,69.65,67.5,61.7,58.400000000000006,53.3,48.4,44.1,40.95,39.45,38.099999999999994,37.5,37.0
2022-02-18 04:00:00,70.69999999999999,68.4,62.25,58.900000000000006,53.8,48.9,44.8,41.8,40.35,38.95,38.1,37.5
2022-02-18 05:00:00,70.55,68.4,62.15,58.85,53.6,48.599999999999994,44.5,41.75,40.6,39.55,38.9,38.45
2022-02-18 06:00:00,72.0,70.25,64.3,60.900000000000006,54.7,48.8,44.0,41.2,40.35,39.7,39.4,39.15
2022-02-18 07:00:00,74.5,72.9,68.19999999999999,65.4,59.45,52.05,46.099999999999994,42.599999999999994,41.65,41.0,40.7,40.5
2022-02-18 08:00:00,76.4,73.85,69.6,67.65,63.699999999999996,57.2,51.25,47.599999999999994,46.3,45.3,44.75,44.400000000000006
2022-02-18 09:00:00,75.25,72.85,68.7,66.70000000000002,63.04999999999999,57.8,53.0,50.099999999999994,48.7,47.4,46.7,46.25
2022-02-18 10:00:00,73.95,72.6,68.6,66.20000000000002,62.0,56.45,51.7,48.7,47.400000000000006,46.15,45.55,45.15
2022-02-18 11:00:00,74.1,72.5,68.5,66.20000000000002,62.1,56.2,51.400000000000006,48.5,47.25,46.05,45.2,44.599999999999994
2022-02-18 12:00:00,74.0,72.6,68.25,66.15,62.15,56.400000000000006,51.85,49.4,48.25,47.2,46.400000000000006,45.849999999999994
