,laf005_per_hour,laf01_per_hour,laf05_per_hour,laf10_per_hour,laf25_per_hour,laf50_per_hour,laf75_per_hour,laf90_per_hour,laf95_per_hour,laf98_per_hour,laf99_per_hour,laf995_per_hour
2022-03-07 13:00:00,72.55203049634345,70.42666096156829,64.16387894818735,60.78297028162442,55.57733001400364,50.92130076240889,47.359934650692566,44.85750739069588,43.6323712463046,42.45800529018204,41.77971837560278,41.22532285669821
2022-03-07 14:00:00,68.80000000000001,67.4,63.15,60.3,55.8,51.5,48.55,46.3,45.15,43.8,43.099999999999994,42.2
2022-03-07 15:00:00,73.35,71.5,65.9,63.05,58.55,53.849999999999994,49.85,46.900000000000006,45.599999999999994,44.099999999999994,43.3,42.45
2022-03-07 16:00:00,73.25,71.25,65.5,62.75,58.55,54.349999999999994,50.1,47.0,45.55,44.099999999999994,43.35,42.7
2022-03-07 17:00:00,72.3,70.75,65.8,62.8,57.8,53.0,48.7,45.45,43.8,42.349999999999994,41.45,40.8
2022-03-07 18:00:00,72.25,70.80000000000001,66.44999999999999,63.6,58.65,53.75,49.9,46.6,44.8,43.25,42.3,41.55
2022-03-07 19:00:00,72.5,71.0,66.5,63.45,58.45,53.95,50.3,47.2,45.599999999999994,44.1,43.2,42.45
2022-03-07 20:00:00,72.85,71.35,66.1,62.95,57.65,53.0,48.95,45.95,44.65,43.35,42.6,41.95
2022-03-07 21:00:00,72.35,70.94999999999999,65.45,62.45,57.0,52.2,48.349999999999994,45.55,44.25,43.0,42.3,41.75
2022-03-07 22:00:00,71.85,70.44999999999999,65.30000000000001,62.4,57.8,53.599999999999994,50.3,47.849999999999994,46.650000000000006,45.349999999999994,44.55,43.900000000000006
2022-03-07 23:00:00,74.1,71.69999999999999,66.30000000000001,63.75,60.2,56.599999999999994,53.400000000000006,51.0,49.8,48.5,47.7,47.05
2022-03-08 00:00:00,77.0,74.1,68.65,66.4,63.099999999999994,59.7,56.5,54.1,52.8,51.45,50.599999999999994,49.95
2022-03-08 01:00:00,77.1,74.55000000000001,70.0,68.15,65.35,62.45,59.65,57.35,56.05,54.7,53.75,53.0
2022-03-08 02:00:00,77.9,75.35,70.5,68.75,66.19999999999999,63.55,61.0,58.75,57.45,56.1,55.25,54.55
2022-03-08 03:00:00,76.4,74.1,68.9,67.0,64.39999999999999,61.75,59.150000000000006,56.8,55.55,54.2,53.4,52.7
2022-03-08 04:00:00,73.75,71.85,67.35,65.45,62.69999999999999,59.75,56.75,54.099999999999994,52.5,50.099999999999994,48.5,47.349999999999994
2022-03-08 05:00:00,72.0,69.55,62.7,59.7,55.49999999999999,51.7,48.15,45.4,43.8,41.599999999999994,40.15,39.2
2022-03-08 06:00:00,71.6,69.05,60.35,55.55,48.8,44.35,40.8,38.15,36.75,35.55,34.849999999999994,34.35
2022-03-08 07:00:00,77.45,75.65,68.35,63.0,55.3,49.45,45.5,42.45,40.75,39.05,38.05,37.2
2022-03-08 08:00:00,83.5,81.69999999999999,73.44999999999999,68.55000000000001,61.55,55.45,51.099999999999994,48.0,46.55,44.95,43.85,42.6
2022-03-08 09:00:00,82.55,78.9,70.94999999999999,67.05000000000001,60.74999999999999,54.95,50.55,47.65,46.349999999999994,45.05,44.1,43.05
2022-03-08 10:00:00,76.05,72.80000000000001,67.65,64.65,59.099999999999994,52.75,48.0,44.849999999999994,43.349999999999994,42.0,41.150000000000006,40.5
2022-03-08 11:00:00,73.1,71.45,66.85,63.849999999999994,58.349999999999994,52.2,47.6,44.5,42.95,41.45,40.6,39.9
2022-03-08 12:00:00,73.0,71.25,66.45,63.55,58.64999999999999,53.599999999999994,49.1,46.2,44.45,42.8,42.0,41.349999999999994
2022-03-08 13:00:00,73.5,72.0,67.05000000000001,64.94999999999999,62.05,58.55,51.45,47.849999999999994,46.05,44.400000000000006,43.45,42.599999999999994
2022-03-08 14:00:00,74.5,72.75,67.5,65.15,61.94999999999999,58.650000000000006,51.95,48.4,46.900000000000006,45.5,44.45,43.4
2022-03-08 15:00:00,73.0,71.4,66.19999999999999,63.150000000000006,58.89999999999999,55.400000000000006,51.45,48.099999999999994,46.45,45.05,44.15,43.3
2022-03-08 16:00:00,72.15,70.65,65.44999999999999,62.45,58.349999999999994,54.55,50.6,47.2,45.4,43.900000000000006,43.099999999999994,42.45
2022-03-08 17:00:00,72.25,70.5,65.65,62.65,58.05,53.7,50.0,47.150000000000006,45.55,44.150000000000006,43.4,42.8
2022-03-08 18:00:00,72.1,70.3,65.75,63.1,58.55,54.0,50.3,47.55,46.05,44.55,43.8,43.15
2022-03-08 19:00:00,72.35,70.65,66.0,63.45,58.99999999999999,54.3,50.400000000000006,47.599999999999994,46.2,44.8,44.05,43.349999999999994
2022-03-08 20:00:00,72.5,70.9,66.05,63.3,58.44999999999999,53.7,49.8,47.0,45.75,44.55,43.8,43.099999999999994
2022-03-08 21:00:00,72.0,70.44999999999999,65.35,62.65,58.14999999999999,53.599999999999994,49.65,46.7,45.3,43.849999999999994,43.0,42.25
2022-03-08 22:00:00,72.25,70.65,65.19999999999999,62.55,58.74999999999999,54.849999999999994,51.4,48.05,46.25,44.599999999999994,43.75,42.95
2022-03-08 23:00:00,73.19999999999999,71.4,66.65,64.39999999999999,61.099999999999994,57.75,54.9,51.95,50.35,48.9,48.05,47.3
2022-03-09 00:00:00,74.6,72.75,68.6,66.64999999999999,63.599999999999994,60.6,58.05,55.95,54.8,53.65,52.85,52.2
2022-03-09 01:00:00,75.55000000000001,73.65,69.2,67.2,64.2,61.5,59.150000000000006,57.25,56.15,54.95,54.1,53.35
2022-03-09 02:00:00,74.6,72.75,68.6,66.69999999999999,63.89999999999999,61.05,58.400000000000006,56.3,55.2,53.9,53.1,52.35
2022-03-09 03:00:00,73.45,71.9,68.15,66.35,63.64999999999999,60.650000000000006,57.8,55.65,54.55,53.3,52.5,51.8
2022-03-09 04:00:00,70.85,69.05000000000001,64.45,62.19999999999999,58.349999999999994,54.55,51.45,49.25,48.0,46.7,45.849999999999994,45.2
2022-03-09 05:00:00,67.3,64.85,58.45,55.349999999999994,51.3,45.75,42.3,40.05,38.9,37.8,37.2,36.849999999999994
2022-03-09 06:00:00,69.0,66.65,59.599999999999994,55.349999999999994,50.39999999999999,43.45,39.95,37.849999999999994,36.9,36.05,35.55,35.3
2022-03-09 07:00:00,74.7,73.1,66.44999999999999,61.449999999999996,54.3,47.7,43.7,41.05,39.95,39.05,38.45,38.05
2022-03-09 08:00:00,79.6,78.65,70.69999999999999,66.55,59.39999999999999,52.7,48.55,45.599999999999994,44.3,43.15,42.4,41.8
2022-03-09 09:00:00,80.65,79.30000000000001,71.75,69.15,64.74999999999999,58.8,53.25,48.8,46.95,45.4,44.6,44.0
2022-03-09 10:00:00,78.94999999999999,76.45,71.39999999999999,69.85,68.04999999999998,63.599999999999994,55.6,49.2,46.65,44.75,43.900000000000006,43.35
2022-03-09 11:00:00,75.44999999999999,73.30000000000001,68.85,66.8,62.899999999999984,57.7,50.95,46.2,44.15,42.4,41.5,40.85
2022-03-09 12:00:00,73.8,71.80000000000001,66.94999999999999,64.19999999999999,58.09999999999998,52.5,48.150000000000006,45.3,43.9,42.349999999999994,41.4,40.650000000000006
2022-03-09 13:00:00,73.55,71.4,66.6,63.95,58.94999999999999,53.8,50.1,47.599999999999994,46.3,44.95,44.15,43.400000000000006
2022-03-09 14:00:00,73.35,71.5,66.79999999999998,63.9,59.399999999999984,54.900000000000006,51.1,48.2,46.6,45.2,44.5,43.900000000000006
2022-03-09 15:00:00,73.55000000000001,71.65,67.1,64.5,59.69999999999999,55.0,51.05,48.05,46.45,45.0,44.2,43.650000000000006
