,laf005_per_hour,laf01_per_hour,laf05_per_hour,laf10_per_hour,laf25_per_hour,laf50_per_hour,laf75_per_hour,laf90_per_hour,laf95_per_hour,laf98_per_hour,laf99_per_hour,laf995_per_hour
2022-02-17 18:00:00,71.09055562853035,69.03534743202435,63.22894391173008,60.12793248390925,55.06128333114414,49.888618153159115,45.62292788651013,42.70329699198728,41.329686063312785,40.05495862340721,39.34217128595823,38.78163667411012
2022-02-17 19:00:00,75.65,72.3,67.5,64.95,61.0,56.650000000000006,52.4,49.0,47.25,45.650000000000006,44.75,44.1
2022-02-17 20:00:00,74.0,71.95,68.25,65.95,61.5,56.6,52.25,49.0,47.400000000000006,45.900000000000006,45.15,44.55
2022-02-17 21:00:00,72.95,71.25,67.55,65.2,60.6,55.25,50.650000000000006,47.35,45.8,44.45,43.75,43.15
2022-02-17 22:00:00,73.1,71.0,65.8,63.25,58.95,53.85,49.400000000000006,46.0,44.2,42.75,41.95,41.349999999999994
2022-02-17 23:00:00,73.75,71.55000000000001,65.8,63.2,58.65,53.25,48.8,45.25,43.099999999999994,41.4,40.55,40.0
2022-02-18 00:00:00,78.05000000000001,74.9,67.3,64.05,58.95,53.45,48.75,45.15,42.9,40.6,39.6,38.900000000000006
2022-02-18 01:00:00,74.9,72.15,64.9,61.599999999999994,56.55,51.55,47.0,43.55,41.65,39.55,38.55,37.75
2022-02-18 02:00:00,67.0,64.85,59.900000000000006,57.3,52.95,48.2,43.85,40.45,38.95,37.599999999999994,36.95,36.4
2022-02-18 03:00:00,66.1,63.8,58.6,56.05,51.900000000000006,47.3,43.2,39.7,38.2,36.9,36.3,35.8
2022-02-18 04:00:00,68.1,65.94999999999999,60.0,57.25,52.85,48.05,43.85,40.65,39.15,37.85,37.15,36.6
2022-02-18 05:00:00,69.55,67.25,61.15,58.25,53.3,47.95,43.3,40.25,38.95,37.95,37.4,37.0
2022-02-18 06:00:00,72.2,70.25,64.7,61.650000000000006,56.2,50.1,44.3,39.95,38.55,37.75,37.349999999999994,37.1
2022-02-18 07:00:00,74.7,73.19999999999999,68.3,65.75,61.0,54.900000000000006,48.65,43.4,41.55,40.0,39.349999999999994,39.0
2022-02-18 08:00:00,76.4,74.69999999999999,68.8,66.75,63.3,58.8,54.0,50.0,48.099999999999994,46.25,45.349999999999994,44.65
2022-02-18 09:00:00,76.65,74.8,68.85,66.6,63.6,59.75,56.25,53.2,51.599999999999994,50.349999999999994,49.5,48.7
2022-02-18 10:00:00,75.55,73.75,69.1,66.75,63.400000000000006,59.1,55.4,52.3,50.849999999999994,49.75,49.0,48.3
2022-02-18 11:00:00,74.44999999999999,72.75,67.85,65.7,62.35,58.05,54.15,51.0,49.55,48.35,47.7,47.1
2022-02-18 12:00:00,73.44999999999999,71.8,67.55000000000001,65.85,62.650000000000006,58.05,53.9,50.8,49.3,48.05,47.4,46.85
2022-02-18 13:00:00,74.25,72.65,69.1,67.35,63.95,59.6,55.25,52.3,50.75,49.25,48.349999999999994,47.650000000000006
2022-02-18 14:00:00,74.05000000000001,72.35,68.75,66.80000000000001,63.449999999999996,59.2,54.85,51.7,50.1,48.35,47.25,46.45
2022-02-18 15:00:00,74.05000000000001,71.75,67.4,65.30000000000001,62.199999999999996,58.0,53.6,50.35,48.8,47.150000000000006,46.1,45.349999999999994
2022-02-18 16:00:00,74.35,72.05,66.8,64.45,61.2,57.6,53.85,51.0,49.6,48.2,47.1,46.4
2022-02-18 17:00:00,73.05,71.3,66.6,64.5,61.099999999999994,57.55,54.2,51.75,50.45,49.2,48.3,47.65
2022-02-18 18:00:00,72.3,70.8,66.6,64.4,61.05,57.45,54.150000000000006,51.75,50.5,49.25,48.6,48.05
2022-02-18 19:00:00,72.69999999999999,71.1,66.55,64.2,60.64999999999999,56.65,52.900000000000006,50.15,48.85,47.5,46.7,46.150000000000006
2022-02-18 20:00:00,72.35,70.65,66.19999999999999,63.8,59.99999999999999,55.4,50.95,47.8,46.45,44.95,44.2,43.6
2022-02-18 21:00:00,72.3,70.45,65.44999999999999,62.95,58.89999999999999,53.9,49.2,45.9,44.45,42.95,42.3,41.8
2022-02-18 22:00:00,71.55,69.8,64.6,62.0,57.44999999999999,52.25,47.8,44.7,43.3,42.1,41.45,40.95
2022-02-18 23:00:00,69.69999999999999,68.1,63.599999999999994,60.9,55.849999999999994,50.55,46.25,43.3,41.900000000000006,40.85,40.15,39.5
2022-02-19 00:00:00,68.05,66.3,61.95,59.4,54.54999999999999,49.4,45.05,42.150000000000006,40.650000000000006,39.400000000000006,38.5,37.85
2022-02-19 01:00:00,68.15,66.4,62.05,59.45,54.49999999999999,49.4,45.05,41.75,40.0,38.55,37.7,37.1
2022-02-19 02:00:00,67.45,65.75,60.5,57.400000000000006,51.99999999999999,46.65,42.75,40.0,38.599999999999994,37.4,36.8,36.35
2022-02-19 03:00:00,66.15,64.25,58.25,54.6,49.24999999999999,43.9,40.2,38.1,37.05,35.95,35.45,35.1
2022-02-19 04:00:00,66.75,64.5,58.349999999999994,54.7,48.8,43.05,39.15,37.0,36.0,35.1,34.65,34.35
2022-02-19 05:00:00,66.19999999999999,63.75,57.05,53.2,47.05,41.0,37.45,35.75,35.150000000000006,34.7,34.4,34.25
2022-02-19 06:00:00,65.6,63.55,56.7,52.1,45.449999999999996,39.9,37.25,35.55,35.0,34.5,34.3,34.099999999999994
2022-02-19 07:00:00,66.85,65.3,59.35,54.95,47.199999999999996,40.849999999999994,37.849999999999994,36.2,35.65,35.15,34.95,34.75
2022-02-19 08:00:00,69.5,67.55,61.7,58.2,51.3,44.25,39.8,37.599999999999994,36.849999999999994,36.25,35.95,35.75
2022-02-19 09:00:00,70.55000000000001,68.3,62.65,59.650000000000006,54.05,47.75,42.849999999999994,40.0,38.95,38.1,37.7,37.349999999999994
2022-02-19 10:00:00,70.0,68.05,63.3,60.55,55.349999999999994,49.7,44.55,41.6,40.3,39.2,38.75,38.349999999999994
2022-02-19 11:00:00,70.5,68.55,63.8,61.45,56.94999999999999,51.6,46.25,42.9,41.35,39.85,39.2,38.75
2022-02-19 12:00:00,75.4,72.5,64.94999999999999,62.4,58.24999999999999,53.25,47.95,44.25,42.5,40.85,39.900000000000006,39.25
2022-02-19 13:00:00,75.0,72.05000000000001,64.35,61.7,57.39999999999999,52.45,47.6,44.150000000000006,42.5,41.0,40.1,39.4
2022-02-19 14:00:00,71.1,68.55000000000001,62.949999999999996,60.7,56.599999999999994,51.55,47.35,44.25,42.75,41.3,40.5,39.9
2022-02-19 15:00:00,71.25,68.80000000000001,63.14999999999999,60.9,57.099999999999994,52.3,48.3,45.2,43.7,42.25,41.3,40.45
2022-02-19 16:00:00,70.45,68.75,63.699999999999996,61.2,57.2,52.2,47.95,44.8,43.45,42.2,41.45,40.6
2022-02-19 17:00:00,70.85,69.15,64.14999999999999,61.5,57.24999999999999,52.2,47.599999999999994,44.3,42.95,41.85,41.25,40.7
2022-02-19 18:00:00,71.6,70.0,65.65,63.45,59.44999999999999,54.65,49.8,46.6,45.1,43.45,41.9,41.2
2022-02-19 19:00:00,74.35,71.9,68.0,66.15,62.349999999999994,57.3,51.55,48.2,46.7,44.75,43.1,42.35
2022-02-19 20:00:00,75.05000000000001,72.55,68.6,66.80000000000001,62.94999999999999,57.4,51.099999999999994,47.6,46.25,44.8,43.8,43.0
2022-02-19 21:00:00,72.85,71.75,67.85,65.65,61.14999999999999,54.9,49.05,45.7,44.35,43.15,42.25,41.45
2022-02-19 22:00:00,72.25,71.0,66.7,64.1,58.89999999999999,52.5,47.1,43.7,42.0,40.7,40.05,39.55
2022-02-19 23:00:00,71.30000000000001,69.69999999999999,65.5,62.75,57.29999999999999,51.0,45.8,42.3,40.6,39.400000000000006,38.85,38.5
2022-02-20 00:00:00,71.80000000000001,70.0,64.9,61.95,56.099999999999994,49.4,43.95,40.150000000000006,38.75,37.6,37.1,36.8
2022-02-20 01:00:00,71.05000000000001,68.95,62.95,59.95,53.94999999999999,47.2,41.75,38.1,36.849999999999994,35.85,35.4,35.1
2022-02-20 02:00:00,67.65,65.80000000000001,60.599999999999994,57.349999999999994,51.14999999999999,44.5,39.2,36.05,35.099999999999994,34.45,34.099999999999994,33.85
2022-02-20 03:00:00,68.25,65.9,60.45,56.95,50.24999999999999,42.45,36.85,34.5,33.849999999999994,33.35,33.099999999999994,32.900000000000006
2022-02-20 04:00:00,67.4,64.95,58.650000000000006,54.8,47.55,39.849999999999994,34.95,33.7,33.25,32.9,32.75,32.6
2022-02-20 05:00:00,65.25,63.7,57.3,52.8,45.44999999999999,38.849999999999994,35.0,33.9,33.45,33.099999999999994,32.95,32.8
2022-02-20 06:00:00,65.9,64.30000000000001,57.849999999999994,53.400000000000006,46.44999999999999,39.75,36.05,34.75,34.3,33.9,33.7,33.55
2022-02-20 07:00:00,66.05,64.4,57.7,52.95,45.349999999999994,39.25,36.4,35.400000000000006,35.05,34.7,34.5,34.35
2022-02-20 08:00:00,66.19999999999999,64.4,57.85,52.8,44.599999999999994,38.95,36.9,36.05,35.65,35.3,35.15,34.95
2022-02-20 09:00:00,67.4,65.5,59.900000000000006,55.95,48.39999999999999,41.95,38.95,37.65,37.0,36.5,36.3,36.099999999999994
2022-02-20 10:00:00,69.2,67.5,62.8,59.65,52.74999999999999,45.4,41.05,39.25,38.45,37.75,37.5,37.3
2022-02-20 11:00:00,69.4,67.45,62.95,60.2,54.349999999999994,47.5,42.900000000000006,40.6,39.45,38.45,38.05,37.8
2022-02-20 12:00:00,70.5,68.6,64.35,61.949999999999996,56.849999999999994,50.35,45.3,42.35,40.9,39.849999999999994,39.35,39.0
2022-02-20 13:00:00,71.85,70.5,67.0,64.6,59.64999999999999,52.7,47.05,43.6,42.05,40.8,40.25,39.85
2022-02-20 14:00:00,72.35,70.9,67.5,65.2,60.55,53.5,47.5,43.7,42.0,40.5,39.85,39.45
2022-02-20 15:00:00,73.0,71.35,67.7,65.65,61.19999999999999,54.25,47.9,44.15,42.7,41.45,40.75,40.3
2022-02-20 16:00:00,72.4,70.95,67.1,65.19999999999999,61.05,54.55,48.349999999999994,44.45,42.900000000000006,41.8,41.15,40.7
2022-02-20 17:00:00,71.75,70.4,66.35,64.6,60.8,55.25,49.65,45.7,43.75,42.5,41.85,41.25
2022-02-20 18:00:00,71.6,70.25,66.39999999999999,64.65,61.14999999999999,56.400000000000006,51.1,47.25,45.2,43.6,42.650000000000006,41.849999999999994
2022-02-20 19:00:00,71.94999999999999,70.45,66.54999999999998,64.6,61.49999999999999,57.05,52.0,48.3,46.2,44.2,43.2,42.4
2022-02-20 20:00:00,72.55,71.0,66.89999999999999,64.95,61.949999999999996,57.9,53.45,50.0,48.05,46.1,45.05,44.25
